state_abbr,i_InterventionID,i_Intervention_Name,findings_n,studies_n,weighted_outcome_sample,mean_effect_size_wwc,median_effect_size_wwc,pct_positive_effect_size,mean_improvement_index,intervention_name
KS,1194.0,Integrated Basic Education and Skills Training (I-BEST),18,1,65111.5,0.23332168810568782,0.2574483230484125,80.0,8.9,Integrated Basic Education and Skills Training (I-BEST)
KY,17.0,Saxon Math,12,1,1693.6000000000001,0.11020461145858564,0.09383746952507925,75.0,4.333333333333333,Saxon Math
KY,290.0,"Investigations in Number, Data, and Space®",24,1,4806.400000000001,-0.035791488519723066,-0.0296202721671157,25.0,-2.125,"Investigations in Number, Data, and Space®"
KY,311.0,Scott Foresman-Addison Wesley Elementary Mathematics,8,2,1500.3500000000001,-0.0798304729948918,-0.0962381355216201,25.0,-3.375,Scott Foresman-Addison Wesley Elementary Mathematics
KY,425.0,Pre-K Mathematics,2,1,446.0,0.19746180526928164,0.19746180526928164,100.0,8.0,Pre-K Mathematics
KY,621.0,New Chance,1,1,207.9,,,,8.0,New Chance
KY,750.0,Core-Plus Mathematics,9,1,462.72727272727275,0.3750378161015652,0.289480191481847,77.77777777777779,13.0,Core-Plus Mathematics
KY,818.0,Cognitive Tutor Algebra I,6,3,4213.619047619048,0.07118220383737028,0.07118220383737028,50.0,0.8333333333333334,Cognitive Tutor Algebra I
KY,1175.0,Math Expressions,9,1,1513.5,0.05732518513555702,0.0275963385712838,88.88888888888889,2.2222222222222223,Math Expressions
KY,1181.0,Literacy Design Collaborative (LDC),3,1,50083.0,0.0259977524197904,0.0139992483759552,66.66666666666666,1.3333333333333333,Literacy Design Collaborative (LDC)
KY,1194.0,Integrated Basic Education and Skills Training (I-BEST),18,1,65111.5,0.23332168810568782,0.2574483230484125,80.0,8.9,Integrated Basic Education and Skills Training (I-BEST)
LA,6.0,Teach for America (TFA),2,1,571.6666666666666,0.09274873159973471,0.09274873159973471,100.0,3.5,Teach for America (TFA)
LA,187.0,Lessons in Character,8,1,1024.0,0.36373145208230023,0.3821166141590635,100.0,11.125,Lessons in Character
LA,726.0,Project CRISS®,3,1,578.125,-0.0166493649416042,-0.0321735993734571,33.33333333333333,-0.6666666666666666,Project CRISS®
LA,803.0,TAP: The System for Teacher and Student Advancement,1,1,28.0,0.145163471874506,0.145163471874506,100.0,6.0,TAP: The System for Teacher and Student Advancement
